"Path","LineNumber","Line"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","17","            border: 1px solid var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","18","            display: inline-flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","19","            align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","20","            justify-content: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","21","            box-shadow: 0 2px 8px rgba(255, 109, 0, 0.12) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","22","            transition: all 0.3s ease !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","23","            text-transform: uppercase !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","24","            letter-spacing: 0.5px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","25","            cursor: pointer !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","26","            text-decoration: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","30","            background: var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","31","            color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","32","            transform: translateY(-1px) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","33","            box-shadow: 0 4px 12px rgba(255, 109, 0, 0.2) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","37","            background: linear-gradient(135deg, var(--primary) 0%, var(--primary) 100%) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","38","            border: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","39","            color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","43","            display: flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","44","            align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","45","            gap: 12px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\blogs.blade.php","49","            width: 220px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","10","            height: 42px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","11","            border-radius: 50px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","12","            padding: 0 25px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","13","            font-size: 11px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","14","            font-weight: 800 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","15","            background: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","16","            color: var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","17","            border: 1px solid var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","18","            display: inline-flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","19","            align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","20","            justify-content: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","21","            box-shadow: 0 2px 8px rgba(255, 109, 0, 0.12) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","22","            transition: all 0.3s ease !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","23","            text-transform: uppercase !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","24","            letter-spacing: 0.5px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","25","            cursor: pointer !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","26","            text-decoration: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","30","            background: var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","31","            color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","32","            transform: translateY(-1px) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","33","            box-shadow: 0 4px 12px rgba(255, 109, 0, 0.2) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","37","            background: linear-gradient(135deg, var(--primary) 0%, var(--primary) 100%) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","38","            border: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","39","            color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","43","            display: flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","44","            align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","45","            gap: 12px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\categories.blade.php","49","            width: 220px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\category-create.blade.php","147","        color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","121","        background: var(--icon-gradient) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","122","        border: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","123","        color: white !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","124","        border-radius: 8px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","125","        margin: 4px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","126","        display: inline-flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","127","        align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","128","        padding: 0 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","129","        height: 32px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","130","        overflow: hidden !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","132","        position: relative !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","135","        position: static !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","136","        color: rgba(255, 255, 255, 0.9) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","137","        border: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","138","        background: rgba(255, 255, 255, 0.15) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","139","        font-weight: bold !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","140","        font-size: 18px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","141","        cursor: pointer !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","142","        padding: 0 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","143","        margin: 0 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","144","        display: flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","145","        align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","146","        justify-content: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","147","        width: 32px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","148","        height: 32px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","149","        transition: all 0.2s !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","150","        border-right: 1px solid rgba(255, 255, 255, 0.1) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","153","        padding: 0 12px 0 10px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","154","        display: flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","155","        align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","156","        height: 100% !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","157","        font-size: 13px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","158","        font-weight: 500 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","159","        margin: 0 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","162","        background: rgba(255, 255, 255, 0.3) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","163","        color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","182","        background: var(--icon-gradient) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","186","        margin-top: 5px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","189","        margin-top: 0 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","190","        margin-left: 10px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","191","        height: 32px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","192","        line-height: 32px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","193","        vertical-align: middle !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","194","        font-family: inherit !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-create.blade.php","195","        font-size: 14px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","123","        background: var(--icon-gradient) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","124","        border: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","125","        color: white !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","126","        border-radius: 8px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","127","        margin: 4px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","128","        display: inline-flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","129","        align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","130","        padding: 0 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","131","        height: 32px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","132","        overflow: hidden !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","134","        position: relative !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","137","        position: static !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","138","        color: rgba(255, 255, 255, 0.9) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","139","        border: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","140","        background: rgba(255, 255, 255, 0.15) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","141","        font-weight: bold !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","142","        font-size: 18px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","143","        cursor: pointer !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","144","        padding: 0 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","145","        margin: 0 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","146","        display: flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","147","        align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","148","        justify-content: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","149","        width: 32px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","150","        height: 32px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","151","        transition: all 0.2s !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","152","        border-right: 1px solid rgba(255, 255, 255, 0.1) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","155","        padding: 0 12px 0 10px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","156","        display: flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","157","        align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","158","        height: 100% !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","159","        font-size: 13px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","160","        font-weight: 500 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","161","        margin: 0 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","164","        background: rgba(255, 255, 255, 0.3) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","165","        color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","184","        background: var(--icon-gradient) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","188","        margin-top: 5px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","191","        margin-top: 0 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","192","        margin-left: 10px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","193","        height: 32px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","194","        line-height: 32px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","195","        vertical-align: middle !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","196","        font-family: inherit !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons-edit.blade.php","197","        font-size: 14px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","10","            height: 42px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","11","            border-radius: 50px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","12","            padding: 0 25px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","13","            font-size: 11px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","14","            font-weight: 800 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","15","            background: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","16","            color: var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","17","            border: 1px solid var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","18","            display: inline-flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","19","            align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","20","            justify-content: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","21","            box-shadow: 0 2px 8px rgba(255, 109, 0, 0.12) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","22","            transition: all 0.3s ease !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","23","            text-transform: uppercase !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","24","            letter-spacing: 0.5px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","25","            cursor: pointer !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","26","            text-decoration: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","30","            background: var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","31","            color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","32","            transform: translateY(-1px) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","33","            box-shadow: 0 4px 12px rgba(255, 109, 0, 0.2) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","37","            background: linear-gradient(135deg, var(--primary) 0%, var(--primary) 100%) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","38","            border: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","39","            color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","43","            display: flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","44","            align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","45","            gap: 12px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\coupons.blade.php","49","            width: 220px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","10","            height: 42px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","11","            border-radius: 50px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","12","            padding: 0 25px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","13","            font-size: 11px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","14","            font-weight: 800 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","15","            background: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","16","            color: var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","17","            border: 1px solid var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","18","            display: inline-flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","19","            align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","20","            justify-content: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","21","            box-shadow: 0 2px 8px rgba(255, 109, 0, 0.12) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","22","            transition: all 0.3s ease !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","23","            text-transform: uppercase !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","24","            letter-spacing: 0.5px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","25","            cursor: pointer !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","26","            text-decoration: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","30","            background: var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","31","            color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","32","            transform: translateY(-1px) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","33","            box-shadow: 0 4px 12px rgba(255, 109, 0, 0.2) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","37","            display: flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","38","            align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","39","            gap: 12px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\inquiries.blade.php","43","            width: 220px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\login.blade.php","34","            background: linear-gradient(135deg, var(--primary) 0%, var(--accent) 100%) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\login.blade.php","35","            opacity: 1 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\login.blade.php","36","            box-shadow: 0 10px 30px rgba(0, 66, 0, 0.3) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\login.blade.php","37","            border-radius: 16px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\login.blade.php","38","            border: 1px solid rgba(212, 175, 55, 0.1) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\login.blade.php","39","            padding: 15px 15px 15px 42px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\order-detail.blade.php","143","                display: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\order-detail.blade.php","147","                background: white !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\order-detail.blade.php","148","                margin: 0 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\order-detail.blade.php","149","                padding: 0 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\order-detail.blade.php","153","                margin-left: 0 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\order-detail.blade.php","154","                padding: 0 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\order-detail.blade.php","158","                box-shadow: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\order-detail.blade.php","159","                border: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\order-detail.blade.php","160","                padding: 0 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","10","            height: 42px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","11","            border-radius: 50px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","12","            padding: 0 25px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","13","            font-size: 11px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","14","            font-weight: 800 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","15","            background: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","16","            color: var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","17","            border: 1px solid var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","18","            display: inline-flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","19","            align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","20","            justify-content: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","21","            box-shadow: 0 2px 8px rgba(255, 109, 0, 0.12) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","22","            transition: all 0.3s ease !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","23","            text-transform: uppercase !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","24","            letter-spacing: 0.5px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","25","            cursor: pointer !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","26","            text-decoration: none !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","30","            background: var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","31","            color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","32","            transform: translateY(-1px) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","33","            box-shadow: 0 4px 12px rgba(255, 109, 0, 0.2) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","37","            display: flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","38","            align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","39","            gap: 12px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\orders.blade.php","68","                    <input type=""date"" name=""date"" value=""{{ request('date') }}"" onchange=""this.form.submit()"" class=""datepicker"" style=""width: 100% !important;"">"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\product-create.blade.php","253","        color: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\reviews.blade.php","9","            height: 42px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\reviews.blade.php","10","            border-radius: 50px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\reviews.blade.php","11","            padding: 0 25px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\reviews.blade.php","12","            font-size: 11px !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\reviews.blade.php","13","            font-weight: 800 !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\reviews.blade.php","14","            background: #fff !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\reviews.blade.php","15","            color: var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\reviews.blade.php","16","            border: 1px solid var(--primary) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\reviews.blade.php","17","            display: inline-flex !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\reviews.blade.php","18","            align-items: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\reviews.blade.php","19","            justify-content: center !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\reviews.blade.php","20","            box-shadow: 0 2px 8px rgba(0, 66, 0, 0.08) !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\reviews.blade.php","21","            transition: all 0.3s ease !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\reviews.blade.php","22","            text-transform: uppercase !important;"
"C:\xampp\htdocs\aruvi-plus\resources\views\admin\reviews.blade.php","23","            letter-spacing: 0.5px !important;"
